01/07/2024 13.22.01	3802674121.61	4985200.00	1	24.21	
01/07/2024 13.22.05	3802674125.71	4985205.00	1	23.88	
01/07/2024 13.22.09	3802674129.81	4985200.00	1	20.61	
01/07/2024 13.22.13	3802674133.91	4985200.00	1	22.25	
01/07/2024 13.22.18	3802674138.01	4985195.00	1	15.19	
01/07/2024 13.22.22	3802674142.11	4985200.00	1	22.90	
01/07/2024 13.22.26	3802674146.21	4985200.00	1	21.43	
01/07/2024 13.22.30	3802674150.31	4985200.00	1	21.43	
01/07/2024 13.22.34	3802674154.41	4985200.00	1	20.77	
01/07/2024 13.22.38	3802674158.51	4985205.00	1	22.74	
01/07/2024 13.22.42	3802674162.61	4985205.00	1	22.08	
01/07/2024 13.22.46	3802674166.71	4985200.00	1	23.56	
01/07/2024 13.22.50	3802674170.81	4985205.00	1	23.39	
01/07/2024 13.22.54	3802674174.91	4985200.00	1	28.29	
01/07/2024 13.22.59	3802674179.01	4985200.00	1	20.61	
01/07/2024 13.23.03	3802674183.11	4985200.00	1	22.58	
01/07/2024 13.23.07	3802674187.21	4985200.00	1	21.26	
01/07/2024 13.23.11	3802674191.31	4985205.00	1	23.39	
01/07/2024 13.23.15	3802674195.41	4985200.00	1	22.41	
01/07/2024 13.23.19	3802674199.51	4985205.00	1	22.25	
01/07/2024 13.23.23	3802674203.56	4985205.00	1	22.08	
01/07/2024 13.23.27	3802674207.66	4985200.00	1	23.23	
01/07/2024 13.23.31	3802674211.76	4985200.00	1	18.64	
01/07/2024 13.23.35	3802674215.86	4985200.00	1	21.92	
01/07/2024 13.23.39	3802674219.96	4985205.00	1	21.26	
01/07/2024 13.23.44	3802674224.06	4985200.00	1	22.58	
01/07/2024 13.23.48	3802674228.16	4985205.00	1	21.76	
01/07/2024 13.23.52	3802674232.26	4985200.00	1	22.58	
01/07/2024 13.23.56	3802674236.36	4985205.00	1	22.58	
01/07/2024 13.24.00	3802674240.46	4985200.00	1	22.58	
01/07/2024 13.24.04	3802674244.56	4985200.00	1	22.58	
01/07/2024 13.24.08	3802674248.66	4985200.00	1	21.10	
01/07/2024 13.24.12	3802674252.76	4985205.00	1	21.92	
01/07/2024 13.24.16	3802674256.86	4985205.00	1	22.25	
01/07/2024 13.24.20	3802674260.96	4985200.00	1	21.92	
01/07/2024 13.24.25	3802674265.06	4985200.00	1	22.90	
01/07/2024 13.24.29	3802674269.16	4985205.00	1	22.08	
01/07/2024 13.24.33	3802674273.26	4985205.00	1	21.76	
01/07/2024 13.24.37	3802674277.36	4985200.00	1	22.41	
01/07/2024 13.24.41	3802674281.46	4985205.00	1	21.10	
01/07/2024 13.24.45	3802674285.56	4985205.00	1	22.25	
01/07/2024 13.24.49	3802674289.66	4985200.00	1	21.92	
01/07/2024 13.24.53	3802674293.76	4985205.00	1	22.58	
01/07/2024 13.24.57	3802674297.86	4985200.00	1	21.92	
01/07/2024 13.25.01	3802674301.96	4985205.00	1	21.76	
01/07/2024 13.25.06	3802674306.06	4985205.00	1	21.43	
01/07/2024 13.25.10	3802674310.16	4985205.00	1	21.26	
01/07/2024 13.25.14	3802674314.26	4985200.00	1	21.10	
01/07/2024 13.25.18	3802674318.36	4985200.00	1	22.08	
01/07/2024 13.25.22	3802674322.46	4985205.00	1	22.25	
01/07/2024 13.25.26	3802674326.56	4985205.00	1	22.74	
01/07/2024 13.25.30	3802674330.66	4985205.00	1	21.76	
01/07/2024 13.25.34	3802674334.76	4985205.00	1	21.59	
01/07/2024 13.25.38	3802674338.86	4985205.00	1	22.74	
01/07/2024 13.25.42	3802674342.96	4985205.00	1	21.43	
01/07/2024 13.25.47	3802674347.06	4985205.00	1	21.59	
01/07/2024 13.25.51	3802674351.16	4985205.00	1	21.10	
01/07/2024 13.25.55	3802674355.26	4985200.00	1	21.92	
01/07/2024 13.25.59	3802674359.36	4985205.00	1	22.58	
01/07/2024 13.26.03	3802674363.46	4985205.00	1	22.41	
01/07/2024 13.26.07	3802674367.51	4985205.00	1	21.59	
01/07/2024 13.26.11	3802674371.61	4985205.00	1	21.59	
01/07/2024 13.26.15	3802674375.71	4985205.00	1	21.92	
01/07/2024 13.26.19	3802674379.81	4985200.00	1	22.25	
01/07/2024 13.26.23	3802674383.91	4985200.00	1	23.56	
01/07/2024 13.26.28	3802674388.01	4985205.00	1	21.26	
01/07/2024 13.26.32	3802674392.11	4985200.00	1	20.77	
01/07/2024 13.26.36	3802674396.21	4985205.00	1	21.59	
01/07/2024 13.26.40	3802674400.31	4985205.00	1	20.77	
