Laser current / A, Power / W, Standard deviation of power / W
-, 4.413135219999999e-09, 1.0874426486861511e-09
-, 4.3975653e-09, 8.027593958537701e-10
-, 4.4505911e-09, 8.200973298207904e-10
-, 4.39356368e-09, 8.087211031229848e-10
-, 4.58504844e-09, 7.288944888407144e-10
-, 4.55411726e-09, 8.139129460852016e-10
-, 4.6919428799999994e-09, 8.927032969388573e-10
-, 4.89141967e-09, 7.722144992728324e-10
-, 4.95939008e-09, 7.838395223855415e-10
-, 9.250451820000002e-09, 2.5989037160867055e-09
